段落,小句,内容
1.6,25,今天子欲修先王之緒而棄其大功，匱神乏祀而困民之財，將何以求福用民
1.6,26,王不聽
1.6,27,三十九年，戰于千畝，王師敗績于姜氏之戎
1.7,0,魯武公以括與戲見王，王立戲，樊仲山父諫曰：不可立也
1.7,1,不順必犯，犯王命必誅，故出令不可不順也
1.7,2,令之不行，政之不立，行而不順，民將棄上
1.7,3,夫下事上，少事長，所以爲順也
1.7,4,今天子立諸侯而建其少，是教逆也
1.7,5,若魯從之而諸侯效之，王命將有所壅
1.7,6,若不從而誅之，是自誅王命也
1.7,7,是事也，誅亦失，不誅亦失，天子其圖之
1.7,8,王卒立之
1.7,9,魯侯歸而卒，及魯人殺懿公而立伯御
1.8,0,三十二年春，宣王伐魯，立孝公，諸侯從是而不睦
1.8,1,宣王欲得國子之能導訓諸侯者，樊穆仲曰：魯侯孝
1.8,2,王曰：何以知之
1.8,3,對曰：肅恭明神而敬事耇老
1.8,4,賦事行刑，必問於遺訓而咨於故實
1.8,5,不干所問，不犯所咨
1.8,6,王曰：然則能訓治其民矣
1.8,7,乃命魯孝公於夷宫
1.9,0,宣王既喪南國之師，乃料民於太原
1.9,1,仲山父諫曰：民不可料也
1.9,2,夫古者不料民而知其少多，司民協孤終，司商協民姓，司徒協旅，司寇協姦，牧協職，工協革，場協入，廩協出，是則少多死生出入往來者皆可知也
1.9,3,於是乎又審之以事，王治農於籍，蒐于農隙，耨穫亦於籍，獮於既烝，狩於畢時，是皆習民數者也，又何料焉
1.9,4,不謂其少而大料之，是示少而惡事也
1.9,5,臨政示少，諸侯避之
1.9,6,治民惡事，無以賦令
1.9,7,且無故而料民，天之所惡也，害於政而妨於後嗣
1.9,8,王卒料之，及幽王乃廢滅
1.10,0,幽王二年，西周三川皆震
1.10,1,伯陽父曰：周將亡矣
1.10,2,夫天地之氣，不失其序
1.10,3,若過其序，民亂之也
1.10,4,陽伏而不能出，陰迫而不能烝，於是有地震
1.10,5,今三川實震，是陽失其所而鎮陰也
1.10,6,陽失而在陰，川源必塞
1.10,7,源塞，國必亡
1.10,8,夫水土演而民用也
1.10,9,水土無所演，民乏財用，不亡何待
1.10,10,昔伊洛竭而夏亡，河竭而商亡
1.10,11,今周德若二代之季矣，其川源又塞，塞必竭
1.10,12,夫國必依山川，山崩川竭，亡之徵也
1.10,13,川竭，山必崩
1.10,14,若國亡不過十年，數之紀也
1.10,15,夫天之所棄，不過其紀
1.10,16,是歲也，三川竭，岐山崩
1.10,17,十一年，幽王乃滅，周乃東遷
1.11,0,惠王三年，邊伯石速蔿國出王而立子頽
1.11,1,王處於鄭三年
1.11,2,王子頽飲三大夫酒，子國爲客，樂及徧儛
1.11,3,鄭厲公見虢叔，曰：吾聞之，司寇行戮，君爲之不舉，而況敢樂禍乎
1.11,4,今吾聞子頽歌舞不息，樂禍也
1.11,5,夫出王而代其位，禍孰大焉
1.11,6,臨禍忘憂，是謂樂禍
1.11,7,禍必及之，盍納王乎
1.11,8,虢叔許諾
1.11,9,鄭伯將王自圉門入，虢叔自北門入，殺子頽及三大夫，王乃入也
1.12,0,十五年，有神降於莘，王問於内史過，曰：是何故
1.12,1,固有之乎
1.12,2,對曰：有之
1.12,3,國之將興，其君齊明衷正精潔惠和，其德足以昭其馨香，其惠足以同其民人
1.12,4,神饗而民聽，民神無怨，故明神降之，觀其政德而均布福焉
1.12,5,國之將亡，其君貪冒辟邪淫佚荒怠麤穢暴虐
1.12,6,其政腥臊，馨香不登
1.12,7,其刑矯誣，百姓攜貳
1.12,8,明神不蠲而民有遠志，民神怨痛，無所依懷，故神亦往焉，觀其苛慝而降之禍
1.12,9,是以或見神以興，亦或以亡
1.12,10,昔夏之興也，融降于崇山
1.12,11,其亡也，回禄信於耹隧
1.12,12,商之興也，檮杌次於丕山
1.12,13,其亡也，夷羊在牧
1.12,14,周之興也，鸑鷟鳴於岐山
1.12,15,其衰也，杜伯射王於鄗
1.12,16,是皆明神之志者也
1.12,17,王曰：今是何神也
1.12,18,對曰：昔昭王娶於房，曰房后，實有爽德，協於丹朱，丹朱憑身以儀之，生穆王焉
1.12,19,是實臨照周之子孫而禍福之
1.12,20,夫神壹不遠徙遷，若由是觀之，其丹朱之神乎
1.12,21,王曰：其誰受之
1.12,22,對曰：在虢土
1.12,23,王曰：然則何爲
1.12,24,對曰：臣聞之：道而得神，是謂逢福
1.12,25,淫而得神，是謂貪禍
1.12,26,今虢少荒，其亡乎
1.12,27,王曰：吾其若之何
1.12,28,對曰：使太宰以祝史帥狸姓，奉犧牲粢盛玉帛往獻焉，無有祈也
1.12,29,王曰：虢其幾何
1.12,30,對曰：昔堯臨民以五，今其胄見，神之見也，不過其物
1.12,31,若由是觀之，不過五年
1.12,32,王使太宰忌父帥傅氏及祝史奉犧牲玉鬯往獻焉
1.12,33,内史過從至虢，虢公亦使祝史請土焉
1.12,34,内史過歸，以告王曰：虢必亡矣，不禋於神而求福焉，神必禍之
1.12,35,不親於民而求用焉，人必違之
1.12,36,精意以享，禋也
1.12,37,慈保庶民，親也
1.12,38,今虢公動匱百姓以逞其違，離民怒神而求利焉，不亦難乎
1.12,39,十九年，晉取虢
1.13,0,襄王使邵公過及内史過賜晉惠公命，呂甥郤芮相晉侯不敬，晉侯執玉卑，拜不稽首
1.13,1,内史過歸，以告王曰：晉不亡，其君必無後
1.13,2,且呂郤將不免
1.13,3,王曰：何故
1.13,4,對曰：夏書有之曰：衆非元后，何戴
1.13,5,后非衆，無與守邦
1.13,6,在湯誓曰：余一人有罪，無以萬夫
1.13,7,萬夫有罪，在余一人
1.13,8,在盤庚曰：國之臧，則惟女衆
1.13,9,國之不臧，則惟余一人，是有逸罰
1.13,10,如是則長衆使民，不可不慎也
1.13,11,民之所急在大事，先王知大事之必以衆濟也，是故祓除其心，以和惠民
1.13,12,考中度衷以蒞之，昭明物則以訓之，制義庶孚以行之
1.13,13,祓除其心，精也
1.13,14,考中度衷，忠也
1.13,15,昭明物則，禮也
1.13,16,制義庶孚，信也
1.13,17,然則長衆使民之道，非精不和，非忠不立，非禮不順，非信不行
1.13,18,今晉侯即位而背外内之賂，虐其處者，棄其信也
1.13,19,不敬王命，棄其禮也
1.13,20,施其所惡，棄其忠也
1.13,21,以惡實心，棄其精也
1.13,22,四者皆棄，則遠不至而近不和矣，將何以守國
1.13,23,古者，先王既有天下，又崇立上帝明神而敬事之，於是乎有朝日夕月以教民事君
1.13,24,諸侯春秋受職於王以臨其民，大夫士日恪位著以儆其官，庶人工商各守其業以共其上
1.13,25,猶恐其有墜失也，故爲車服旗章以旌之，爲贄幣瑞節以鎮之，爲班爵貴賤以列之，爲令聞嘉譽以聲之
1.13,26,猶有散遷懈慢而著在刑辟，流在裔土，於是乎有蠻夷之國，有斧鉞刀墨之民，而況可以淫縱其身乎
1.13,27,夫晉侯非嗣也，而得其位，亹亹怵惕，保任戒懼，猶曰未也
1.13,28,若將廣其心而遠其鄰，陵其民而卑其上，將何以固守
1.13,29,夫執玉卑，替其贄也
1.13,30,拜不稽首，誣其王也
1.13,31,替贄無鎮，誣王無民
1.13,32,夫天事恒象，任重享大者必速及，故晉侯誣王，人亦將誣之
1.13,33,欲替其鎮，人亦將替之
1.13,34,大臣享其禄，弗諫而阿之，亦必及焉
1.13,35,襄王三年而立晉侯，八年而隕於韓，十六年而晉人殺懷公
1.13,36,懷公無胄，秦人殺子金子公
1.14,0,襄王使太宰文公及内史興賜晉文公命，上卿逆於境，晉侯郊勞，館諸宗廟，饋九牢，設庭燎
1.14,1,及期，命于武宫，設桑主，布几筵，太宰莅之，晉侯端委以入
1.14,2,太宰以王命命冕服，内史贊之，三命而後即冕服
1.14,3,既畢，賓饗贈餞如公命侯伯之禮，而加之以宴好
1.14,4,内史興歸，以告王曰：晉，不可不善也
1.14,5,其君必霸，逆王命敬，奉禮義成
1.14,6,敬王命，順之道也
1.14,7,成禮義，德之則也
1.14,8,則德以導諸侯，諸侯必歸之
1.14,9,且禮所以觀忠信仁義也，忠所以分也，仁所以行也，信所以守也，義所以節也
1.14,10,忠分則均，仁行則報，信守則固，義節則度
1.14,11,分均無怨，行報無匱，守固不偷，節度不攜
1.14,12,若民不怨而財不匱，令不偷而動不攜，其何事不濟
1.14,13,中能應外，忠也
1.14,14,施三服義，仁也
1.14,15,守節不淫，信也
1.14,16,行禮不疚，義也
1.14,17,臣入晉境，四者不失，臣故曰：晉侯其能禮矣，王其善之
1.14,18,樹於有禮，艾人必豐
1.14,19,王從之，使於晉者，道相逮也
1.14,20,及惠后之難，王出在鄭，晉侯納之
1.14,21,襄王十六年，立晉文公
1.14,22,二十一年，以諸侯朝王于衡雍，且獻楚捷，遂爲踐土之盟，於是乎始霸
2.1,0,襄王十三年，鄭人伐滑
2.1,1,王使游孫伯請滑，鄭人執之
2.1,2,王怒，將以狄伐鄭
2.1,3,富辰諫曰：不可
2.1,4,古人有言曰：兄弟讒鬩侮人百里
2.1,5,周文公之詩曰：兄弟鬩于牆，外禦其侮
2.1,6,若是則鬩乃内侮，而雖鬩不敗親也
2.1,7,鄭在天子，兄弟也
2.1,8,鄭武莊有大勳力于平桓
2.1,9,我周之東遷，晉鄭是依
2.1,10,子頽之亂，又鄭之繇定
2.1,11,今以小忿棄之，是以小怨置大德也，無乃不可乎
2.1,12,且夫兄弟之怨，不徵於他，徵於他，利乃外矣
2.1,13,章怨外利，不義
2.1,14,棄親即狄，不祥
2.1,15,以怨報德，不仁
2.1,16,夫義所以生利也，祥所以事神也，仁所以保民也
2.1,17,不義則利不阜，不祥則福不降，不仁則民不至
2.1,18,古之明王不失此三德者，故能光有天下，而和寧百姓，令聞不忘
2.1,19,王其不可以棄之
2.1,20,王不聽
2.1,21,十七年，王降狄師以伐鄭
2.1,22,王德狄人，將以其女爲后，富辰諫曰：不可
2.1,23,夫婚姻，禍福之階也
2.1,24,由之利内則福，利外則取禍
2.1,25,今王外利矣，其無乃階禍乎
2.1,26,昔摯疇之國也由大任，杞繒由大姒，齊許申呂由大姜，陳由大姬，是皆能内利親親者也
2.1,27,昔𨻳之亡也由仲任，密須由伯姞，鄶由叔妘，聃由鄭姬，息由陳嬀，鄧由楚曼，羅由季姬，盧由荆嬀，是皆外利離親者也
2.1,28,王曰：利何如而内，何如而外
2.1,29,對曰：尊貴明賢庸勳長老愛親禮新親舊
2.1,30,然則民莫不審固其心力以役上令，官不易方，而財不匱竭，求無不至，動無不濟
2.1,31,百姓兆民，夫人奉利而歸諸上，是利之内也
2.1,32,若七德離判，民乃攜貳，各以利退，上求不暨，是其外利也
2.1,33,夫狄無列於王室，鄭伯南也，王而卑之，是不尊貴也
2.1,34,狄，豺狼之德也，鄭未失周典，王而蔑之，是不明賢也
2.1,35,平桓莊惠皆受鄭勞，王而棄之，是不庸勳也
2.1,36,鄭伯捷之齒長矣，王而弱之，是不長老也
2.1,37,狄，隗姓也，鄭出自宣王，王而虐之，是不愛親也
2.1,38,夫禮，新不閒舊，王以狄女閒姜任，非禮且棄舊也
2.1,39,王一舉而棄七德，臣故曰利外矣
2.1,40,書有之曰：必有忍也，若能有濟也
2.1,41,王不忍小忿而棄鄭，又登叔隗以階狄
2.1,42,狄，封豕豺狼也，不可猒也
2.1,43,王不聽
2.1,44,十八年，王黜狄后
2.1,45,狄人來誅殺譚伯
2.1,46,富辰曰：昔吾驟諫王，王弗從，以及此難
2.1,47,若我不出，王其以我爲懟乎!乃以其屬死之
2.1,48,初，惠后欲立王子帶，故以其黨啟狄人
2.1,49,狄人遂入，周王乃出居于鄭，晉文公納之
2.2,0,晉文公既定襄王于郟，王勞之以地，辭，請隧焉
2.2,1,王不許，曰：昔我先王之有天下也，規方千里以爲甸服，以供上帝山川百神之祀，以備百姓兆民之用，以待不庭不虞之患
2.2,2,其餘以均分公侯伯子男，使各有寧宇，以順及天地，無逢其災害，先王豈有賴焉
2.2,3,内官不過九御，外官不過九品，足以供給神祇而已，豈敢猒縱其耳目心腹以亂百度
2.2,4,亦唯是死生之服物采章，以臨長百姓而輕重布之，王何異之有
2.2,5,今天降禍災於周室，余一人僅亦守府，又不佞以勤叔父，而班先王之大物以賞私德，其叔父實應且憎，以非余一人，余一人豈敢有愛
2.2,6,先民有言曰：改玉改行
2.2,7,叔父若能光裕大德，更姓改物，以創制天下，自顯庸也，而縮取備物以鎮撫百姓，余一人其流辟旅於裔土，何辭之有與
2.2,8,若由是姬姓也，尚將列爲公侯，以復先王之職，大物其未可改也
2.2,9,叔父其懋昭明德，物將自至，余何敢以私勞變前之大章以忝天下
2.2,10,其若先王與百姓何
2.2,11,何政令之爲也
2.2,12,若不然，叔父有地而隧焉，余安能知之
2.2,13,文公遂不敢請，受地而還
2.3,0,王至自鄭，以陽樊賜晉文公
2.3,1,陽人不服，晉侯圍之
2.3,2,倉葛呼曰：王以晉君爲能德，故勞之以陽樊，陽樊懷我王德，是以未從於晉
2.3,3,謂君其何德之布以懷柔之，使無有遠志
2.3,4,今將大泯其宗祊，而蔑殺其民人，宜吾不敢服也
2.3,5,夫三軍之所尋，將蠻夷戎狄之驕逸不虔，於是乎致武
2.3,6,此羸者陽也，未狎君政，故未承命
2.3,7,君若惠及之，唯官是徵，其敢逆命，何足以辱師
2.3,8,君之武震，無乃玩而頓乎
2.3,9,臣聞之曰：武不可覿，文不可匿
2.3,10,覿武無烈，匿文不昭
2.3,11,陽不承獲甸，而祇以覿武，臣是以懼
2.3,12,不然，其敢自愛也
2.3,13,且夫陽，豈有裔民哉
2.3,14,夫亦皆天子之父兄甥舅也，若之何其虐之也
2.3,15,晉侯聞之，曰：是君子之言也
2.3,16,乃出陽民
2.4,0,温之會，晉人執衛成公歸之于周
2.4,1,晉侯請殺之，王曰：不可
2.4,2,夫政自上下者也
2.4,3,上作政而下行之不逆，故上下無怨
2.4,4,今叔父作政而不行，無乃不可乎
2.4,5,夫君臣無獄，今元咺雖直，不可聽也
2.4,6,君臣皆獄，父子將獄，是無上下也
2.4,7,而叔父聽之，一逆矣
2.4,8,又爲臣殺其君，其安庸刑
2.4,9,布刑而不庸，再逆矣
2.4,10,一合諸侯而有再逆政，余懼其無後
2.4,11,不然，余何私於衛侯
2.4,12,晉人乃歸衛侯
2.5,0,二十四年，秦師將襲鄭，過周北門
2.5,1,左右皆免胄而下拜，超乘者三百乘
2.5,2,王孫滿觀之，言於王曰：秦師必有讁
2.5,3,王曰：何故
2.5,4,對曰：師輕而驕，輕則寡謀，驕則無禮
2.5,5,無禮則脫，寡謀自陷
2.5,6,入險而脫，能無敗乎
2.5,7,秦師無讁，是道廢也
2.5,8,是行也，秦師還，晉人敗諸崤，獲其三帥丙術視
2.6,0,晉侯使隨會聘于周，定王享之餚烝，原公相禮
2.6,1,范子私於原公，曰：吾聞王室之禮無毁折，今此何禮也
2.6,2,王見其語，召原公而問之，原公以告
2.6,3,王召士季，曰：子弗聞乎，禘郊之事，則有全烝
2.6,4,王公立飫，則有房烝
2.6,5,親戚宴饗，則有餚烝
2.6,6,今女非他也，而叔父使士季實來修舊德，以獎王室
2.6,7,唯是先王之宴禮，欲以貽女
2.6,8,余一人敢設飫禘焉，忠非親禮，而干舊職，以亂前好
2.6,9,且唯戎狄則有體薦
2.6,10,夫戎狄，冒没輕儳，貪而不讓
2.6,11,其血氣不治，若禽獸焉
2.6,12,其適來班貢，不俟馨香嘉味，故坐諸門外，而使舌人體委與之
2.6,13,女今我王室之一二兄弟，以時相見，將和協典禮，以示民訓則，無亦擇其柔嘉，選其馨香，潔其酒醴，品其百籩，修其簠簋，奉其犧象，出其樽彝，陳其鼎俎，淨其巾羃，敬其祓除，體解節折而共飲食之
2.6,14,於是乎有折俎加豆，酬幣宴貨，以示容合好，胡有孑然其郊戎狄也
2.6,15,夫王公諸侯之有飫也，將以講事成章，建大德昭大物也，故立成禮烝而已
2.6,16,飫以顯物，宴以合好，故歲飫不倦，時宴不淫，月會旬修，日完不忘
2.6,17,服物昭庸，采飾顯明，文章比象，周旋序順，容貌有崇，威儀有則，五味實氣，五色精心，五聲昭德，五義紀宜，飲食可饗，和同可觀，財用可嘉，則順而德建
2.6,18,古之善禮者，將焉用全烝
2.6,19,武子遂不敢對而退
2.6,20,歸乃講聚三代之典禮，於是乎修執秩以爲晉法
2.7,0,定王使單襄公聘於宋
2.7,1,遂假道於陳，以聘於楚
2.7,2,火朝覿矣，道茀不可行，候不在疆，司空不視塗，澤不陂，川不梁，野有庾積，場功未畢，道無列樹，墾田若蓺，膳宰不致餼，司里不授館，國無寄寓，縣無施舍，民將築臺於夏氏
2.7,3,及陳，陳靈公與孔寧儀行父南冠以如夏氏，留賓不見
2.7,4,單子歸，告王曰：陳侯不有大咎，國必亡
2.7,5,王曰：何故
2.7,6,對曰：夫辰角見而雨畢，天根見而水涸，本見而草木節解，駟見而隕霜，火見而清風戒寒
2.7,7,故先王之教曰：雨畢而除道，水涸而成梁，草木節解而備藏，隕霜而冬裘具，清風至而修城郭宫室
2.7,8,故夏令曰：九月除道，十月成梁
2.7,9,其時儆曰：收而場功，偫而畚梮，營室之中，土功其始
2.7,10,火之初見，期於司里
2.7,11,此先王所以不用財賄，而廣施德於天下者也
2.7,12,今陳國火朝覿矣，而道路若塞，野場若棄，澤不陂障，川無舟梁，是廢先王之教也
2.7,13,周制有之曰：列樹以表道，立鄙食以守路
2.7,14,國有郊牧，疆有寓望，藪有圃草，囿有林池，所以禦災也
2.7,15,其餘無非穀土，民無懸耜，野無奥草
2.7,16,不奪民時，不蔑民功
2.7,17,有優無匱，有逸無罷
2.7,18,國有班事，縣有序民
2.7,19,今陳國道路不可知，田在草閒，功成而不收，民罷於逸樂，是棄先王之法制也
2.7,20,周之秩官有之曰：敵國賓至，關尹以告，行理以節逆之，候人爲導，卿出郊勞，門尹除門，宗祝執祀，司里授館，司徒具徒，司空視塗，司寇詰姦，虞人入材，甸人積薪，火師監燎，水師監濯，膳宰致饔，廩人獻餼，司馬陳芻，工人展車，百官以物至，賓入如歸
2.7,21,是故小大莫不懷愛
2.7,22,其貴國之賓至，則以班加一等，益虔
2.7,23,至於王吏，則皆官正莅事，上卿監之
2.7,24,若王巡守，則君親監之
2.7,25,今雖朝也不才，有分族於周，承王命以爲過賓於陳，而司事莫至，是蔑先王之官也
2.7,26,先王之令有之曰：天道賞善而罰淫，故凡我造國，無從非彝，無即慆淫，各守爾典，以承天休
2.7,27,今陳侯不念胤續之常，棄其伉儷妃嬪，而帥其卿佐以淫於夏氏，不亦嬻姓矣乎
2.7,28,陳，我大姬之後也
2.7,29,棄衮冕而南冠以出，不亦簡彝乎
2.7,30,是又犯先王之令也
2.7,31,昔先王之教，懋帥其德也，猶恐殞越
2.7,32,若廢其教而棄其制，蔑其官而犯其令，將何以守國
2.7,33,居大國之閒，而無此四者，其能久乎
2.7,34,六年，單子如楚
2.7,35,八年，陳侯殺於夏氏
2.7,36,九年，楚子入陳
2.8,0,定王八年，使劉康公聘於魯，發幣於大夫
2.8,1,季文子孟獻子皆儉，叔孫宣子東門子家皆侈
2.8,2,歸，王問魯大夫孰賢
2.8,3,對曰：季孟其長處魯乎
2.8,4,叔孫東門其亡乎
2.8,5,若家不亡，身必不免
2.8,6,王曰：何故
2.8,7,對曰：臣聞之：爲臣必臣，爲君必君
2.8,8,寬肅宣惠，君也
2.8,9,敬恪恭儉，臣也
2.8,10,寬所以保本也，肅所以濟時也，宣所以教施也，惠所以和民也
2.8,11,本有保則必固，時動而濟則無敗功，教施而宣則徧，惠以和民則阜
2.8,12,若本固而功成，施徧而民阜，乃可以長保民矣，其何事不徹
2.8,13,敬所以承命也，恪所以守業也，恭所以給事也，儉所以足用也
2.8,14,以敬承命則不違，以恪守業則不懈，以恭給事則寬於死，以儉足用則遠於憂
2.8,15,若承命不違，守業不懈，寬於死而遠於憂，則可以上下無隙矣，其何任不堪
2.8,16,上任事而徹，下能堪其任，所以爲令聞長世也
2.8,17,今夫二子者儉，其能足用矣，用足則族可以庇
2.8,18,二子者侈，侈則不恤匱，匱而不恤，憂必及之，若是則必廣其身
2.8,19,且夫人臣而侈，國家弗堪，亡之道也
2.8,20,王曰：幾何
2.8,21,對曰：東門之位不若叔孫，而泰侈焉，不可以事二君
2.8,22,叔孫之位不若季孟，而亦泰侈焉，不可以事三君
2.8,23,若皆蚤世猶可，若登年以載其毒，必亡
2.8,24,十六年，魯宣公卒
2.8,25,赴者未及，東門氏來告亂，子家奔齊
2.8,26,簡王十一年，魯叔孫宣伯亦奔齊，成公未歿二年
2.9,0,簡王八年，魯成公來朝，使叔孫僑如先聘且告
2.9,1,見王孫説，與之語
2.9,2,説言於王曰：魯叔孫之來也，必有異焉
2.9,3,其享覲之幣薄而言諂，殆請之也
2.9,4,若請之，必欲賜也
2.9,5,魯執政唯強，故不歡焉而後遣之
2.9,6,且其狀方上而鋭下，宜觸冒人
2.9,7,王其勿賜
2.9,8,若貪陵之人來而盈其願，是不賞善也，且財不給
2.9,9,故聖人之施舍也議之，其喜怒取與亦議之
2.9,10,是以不主寬惠，亦不主猛毅，主德義而已
2.9,11,王曰：諾
2.9,12,使私問諸魯，請之也
2.9,13,王遂不賜，禮如行人
2.9,14,及魯侯至，仲孫蔑爲介，王孫説與之語，説讓
2.9,15,説以語王，王厚賄之
2.10,0,晉既克楚于鄢，使郤至告慶于周
2.10,1,未將事，王叔簡公飲之酒，交酬好貨皆厚，飲酒宴語相説也
2.10,2,明日，王叔子譽諸朝
2.10,3,郤至見邵桓公，與之語
2.10,4,邵公以告單襄公曰：王叔子譽温季，以爲必相晉國
2.10,5,相晉國，必大得諸侯
