段落,小句,内容
1.5,0,東周欲爲稻，西周不下水，東周患之
1.5,1,蘇子謂東周君曰：臣請使西周下水可乎
1.5,2,乃往見西周之君曰：君之謀過矣
1.5,3,今不下水，所以富東周也
1.5,4,今其民皆種麥，無他種矣
1.5,5,君若欲害之，不若一爲下水，以病其所種
1.5,6,下水，東周必復種稻
1.5,7,種稻而復奪之
1.5,8,若是，則東周之民可令一仰西周，而受命於君矣
1.5,9,西周君曰：善
1.5,10,遂下水
1.5,11,蘇子亦得兩國之金也
1.6,0,昭獻在陽翟，周君將令相國往，相國將不欲
1.6,1,蘇厲爲之謂周君曰：楚王與魏王遇也，主君令陳封之楚，令向公之魏
1.6,2,楚韓之遇也，主君令許公之楚，令向公之韓
1.6,3,今昭獻非人主也，而主君令相國往
1.6,4,若其王在陽翟，主君將令誰往
1.6,5,周君曰：善
1.6,6,乃止其行
1.7,0,秦假道於周以伐韓，周恐假之而惡於韓，不假而惡於秦
1.7,1,史黶謂周君曰：君何不令人謂韓公叔曰：秦敢絕塞而伐韓者，信東周也
1.7,2,公何不與周地，發重使使之楚，秦必疑，不信周，是韓不伐也
1.7,3,又謂秦王曰：韓強與周地，將以疑周於秦，寡人不敢弗受
1.7,4,秦必無辭而令周弗受，是得地於韓而聽於秦也
1.8,0,楚攻雍氏，周粻秦韓，楚怒周，周之君患之
1.8,1,爲周謂楚王曰：以王之強而怒周，周恐，必以國合於所與粟之國，則是勁王之敵也
1.8,2,故王不如速解周恐，彼前得罪而後得解，必厚事王矣
1.9,0,周最謂石禮曰：子何不以秦攻齊
1.9,1,臣請令齊相子，子以齊事秦，必無處矣
1.9,2,子因令周最居魏以共之，是天下制於子也
1.9,3,子東重於齊，西貴於秦，秦齊合，則子常重矣
1.10,0,周相呂倉見客於周君
1.10,1,前相工師藉恐客之傷己也，因令人謂周君曰：客者，辯士也，然而所以不可者，好毀人
1.11,0,周文君免士工師藉，相呂倉，國人不說也
1.11,1,君有閔閔之心
1.11,2,謂周文君曰：國必有誹譽，忠臣令誹在己，譽在上
1.11,3,宋君奪民時以爲臺，而民非之，無忠臣以掩蓋之也
1.11,4,子罕釋相爲司空，民非子罕而善其君
1.11,5,齊桓公宮中七市，女閭七百，國人非之
1.11,6,管仲故爲三歸之家，以掩桓公，非自傷於民也
1.11,7,春秋記臣弒君者以百數，皆大臣見譽者也
1.11,8,故大臣得譽，非國家之美也
1.11,9,故衆庶成彊，增積成山
1.11,10,周君遂不免
1.12,0,溫人之周，周不納
1.12,1,客即對曰：主人也
1.12,2,問其巷而不知也，吏因囚之
1.12,3,君使人問之曰：子非周人，而自謂非客何也
1.12,4,對曰：臣少而誦詩，詩曰：普天之下，莫非王土
1.12,5,率土之濱，莫非王臣
1.12,6,今周君天下，則我天子之臣，而又爲客哉
1.12,7,故曰主人
1.12,8,君乃使吏出之
1.13,0,或爲周最謂金投曰：秦以周最之齊疑天下，而又知趙之難子齊人戰，恐齊韓之合，必先合於秦
1.13,1,秦齊合，則公之國虛矣
1.13,2,公不如救齊，因佐秦而伐韓魏，上黨長子趙之有
1.13,3,公東收寶於秦，南取地於韓，魏因以因，徐爲之東，則有合矣
1.14,0,周最謂金投曰：公負令秦與強齊戰
1.14,1,戰勝，秦且收齊而封之，使無多割，而聽天下之戰
1.14,2,不勝，國大傷，不得不聽秦
1.14,3,秦盡韓魏之上黨太原，西止秦之有已
1.14,4,秦地，天下之半也，制齊楚三晉之命，復國且身危，是何計之道也
1.15,0,石行秦謂大梁造曰：欲决霸王之名，不如備兩周辯知之士
1.15,1,謂周君曰：君不如令辯知之士，爲君爭於秦
1.16,0,謂薛公曰：周最於齊王也而逐之，聽祝弗，相呂禮者，欲取秦
1.16,1,秦齊合，弗與禮重矣
1.16,2,有周齊，秦必輕君
1.16,3,君弗如急北兵趨趙以秦魏，收周最以爲後行，且反齊王之信，又禁天下之率
1.16,4,齊無秦，天下果，弗必走，齊王誰與爲其國
1.17,0,齊聽祝弗，外周最
1.17,1,謂齊王曰：逐周最聽祝弗相呂禮者，欲深取秦也
1.17,2,秦得天下，則伐齊深矣
1.17,3,夫齊合，則趙恐伐，故急兵以示秦
1.17,4,秦以趙攻，與之齊伐趙，其實同理，必不處矣
1.17,5,故用祝弗，即天下之理也
1.18,0,蘇厲爲周最謂蘇秦曰：君不如令王聽最，以地合於魏趙，故必怒合於齊，是君以合齊與強楚吏產子
1.18,1,君若欲因最之事，則合齊者，君也
1.18,2,割地者，最也
1.19,0,謂周最曰：仇赫之相宋，將以觀秦之應趙宋，敗三國
1.19,1,三國不敗，將興趙宋合於東方以孤秦
1.19,2,亦將觀韓魏之於齊也
1.19,3,不固，則將與宋敗三國，則賣趙宋於三國
1.19,4,公何不令人謂韓魏之王曰：欲秦趙之相賣乎
1.19,5,何不合周最兼相，視之不可離，則秦趙必相賣以合於王也
1.20,0,爲周最謂魏王曰：秦知趙之難與齊戰也，將恐齊趙之合也，必陰勁之
1.20,1,趙不敢戰，恐秦不己收也，先合於齊
1.20,2,秦趙爭齊，而王無人焉，不可
1.20,3,王不去周最，合與收齊，而以兵之急則伐齊，無因事也
1.21,0,謂周最曰：魏王以國與先生，貴合於秦以伐齊
1.21,1,薛公故主，輕忘其薛，不顧其先君之丘墓，而公獨脩虛信爲茂行，明羣臣據故主，不與伐齊者，產以忿強秦，不可
1.21,2,公不如謂魏王薛公曰：請爲王入齊，天下不能傷齊
1.21,3,而有變，臣請爲救之
1.21,4,無變，王遂伐之
1.21,5,且臣爲齊奴也，如累王之交於天下，不可
1.21,6,王爲臣賜厚矣，臣入齊，則王亦無齊之累也
1.22,0,趙取周之祭地，周君患之，告於鄭朝
1.22,1,鄭朝曰：君勿患也，臣請以三十金復取之
1.22,2,周君予之，鄭朝獻之趙太卜，因告以祭地事
1.22,3,及王病，使卜之
1.22,4,太卜譴之曰：周之祭地爲祟
1.22,5,趙乃還之
1.23,0,杜赫欲重景翠於周，謂周君曰：君之國小，盡君子重寶珠玉以事諸侯，不可不察也
1.23,1,譬之如張羅者，張於無鳥之所，則終日無所得矣
1.23,2,張於多鳥處，則又駭鳥矣
1.23,3,必張於有鳥無鳥之際，然後能多得鳥矣
1.23,4,今君將施於大人，大人輕君
1.23,5,施於小人，小人無可以求，又費財焉
1.23,6,君必施於今之窮士，不必且爲大人者，故能得欲矣
1.24,0,周共太子死，有五庶子，皆愛之，而無適立也
1.24,1,司馬翦謂楚王曰：何不封公子咎，而爲之請太子
1.24,2,左成謂司馬翦曰：周君不聽，是公之知困而交絕於周也
1.24,3,不如謂周君曰：孰欲立也
1.24,4,微告翦，翦今楚王資之以地
1.24,5,公若欲爲太子，因令人謂相國御展子廧夫空曰：王類欲令若爲之，此健士也，居中不便於相國
1.24,6,相國令之爲太子
1.25,0,三國隘秦，周令其相之秦，以秦之輕也，留其行
1.25,1,有人謂相國曰：秦之輕重，未可知也
1.25,2,秦欲知三國之情，公不如遂見秦王曰：請謂王聽東方之處
1.25,3,秦必重公
1.25,4,是公重周，重周以取秦也
1.25,5,齊重故有周，而已取齊，是周常不失重國之交也
1.26,0,昌他亡西周，之東周，盡輸西周之情於東周
1.26,1,東周大喜，西周大怒
1.26,2,馮且曰：臣能殺之
1.26,3,君予金三十斤
1.26,4,馮且使人操金與書，間遺昌他書曰：告昌他，事可成，勉成之
1.26,5,不可成，亟亡來亡來
1.26,6,事久且泄，自令身死
1.26,7,因使人告東周之候曰：今夕有姦人當入者矣
1.26,8,候得而獻東周，東周立殺昌他
1.27,0,昭翦與東周惡，或謂照翦曰：爲公畫陰計
1.27,1,照翦曰：何也
1.27,2,西周甚憎東周，甞欲東周與楚惡，西周必令賊賊公，因宣言東周也，以西周之於王也
1.27,3,照翦曰：善
1.27,4,吾又恐東周之賊己而以輕西周惡之於楚
1.27,5,遽和東周
1.28,0,嚴氏爲賊，而陽竪與焉
1.28,1,道周，周君留之十四日，載以乘車駟馬而遣之
1.28,2,韓使人讓周，周君患之
1.28,3,客謂周君曰：正語之曰：寡人知嚴氏之爲賊，而陽竪與之，故留之十四日以待命也
1.28,4,小國不足亦以容賊，君之使又不至，是以遣之也
2.1,0,薛公以齊爲韓魏攻楚，又與韓魏攻秦，而藉兵乞食於西周
2.1,1,韓慶爲西周謂薛公曰：君以齊爲韓魏攻楚，九年而取宛葉以北以強韓魏，今又攻秦以益之
2.1,2,韓魏南無楚憂，西無秦患，則地廣而益重，齊必輕矣
2.1,3,夫本末更盛，虛實有時，竊爲君危之
2.1,4,君不如令弊邑陰合於秦而君無攻，又無藉兵乞食
2.1,5,君臨函谷而無攻，令弊邑以君之情謂秦王曰：薛公必破秦以張韓魏，所以進兵者，欲王令楚割東國以與齊也
2.1,6,秦王出楚王以爲和，君令弊邑以此忠秦，秦得無破，而以楚之東國自免也，必欲之
2.1,7,楚王出，必德齊，齊得東國而益強，而薛世世無患
2.1,8,秦不大弱，而處之三晉之西，三晉必重齊
2.1,9,薛公曰：善
2.1,10,因令韓慶入秦，而使三國無攻秦，而使不藉兵乞食於西周
2.2,0,秦攻魏將𡱝武軍於伊闕，進兵而攻周
2.2,1,爲周最謂李兌曰：君不如禁秦之攻周
2.2,2,趙之上計，莫如令秦魏復戰
2.2,3,今秦攻周而得之，則衆必多傷矣
2.2,4,秦欲待周之得，必不攻魏
2.2,5,秦若攻周而不得，前有勝魏之勞，後有攻周之敗，又必不攻魏
2.2,6,今君禁之，而秦未與魏講也
2.2,7,而全趙令其止，必不敢不聽，是君却秦而定周也
2.2,8,秦去周，必復攻魏，魏不能支，必因君而講，則君重矣
2.2,9,若魏不講，而疾支之，是君存周而戰秦魏也
2.2,10,重亦盡在趙
2.3,0,秦令樗里疾以車百乘入周，周君迎之以卒，甚敬
2.3,1,楚王怒，讓周，以其重秦客
2.3,2,游騰謂楚王曰：昔智伯欲伐厹由，遺之大鍾，載以廣車，因隨入以兵，厹由卒亡，無備故也
2.3,3,桓公伐蔡也，號言伐楚，其實襲蔡
2.3,4,今秦者，虎狼之國也，兼有吞周之意
2.3,5,使樗里疾以車百乘入周，周君懼焉，以蔡厹由戒之，故使長兵在前，強弩在後，名曰衞疾，而實囚之也
2.3,6,周君豈能無愛國哉
2.3,7,恐一日之亡國，而憂大王
2.3,8,楚王乃悅
2.4,0,雍氏之役，韓徵甲與粟於周
2.4,1,周君患之，告蘇代
2.4,2,蘇代曰：何患焉
2.4,3,代能爲君令韓不徵甲與粟於周，又能爲君得高都
2.4,4,周君大悅曰：子苟能，寡人請以國聽
2.4,5,蘇代遂往見韓相國公中曰：公不聞楚計乎
2.4,6,昭應謂楚王曰：韓氏罷於兵，倉廩空，無以守城，吾收之以飢，不過一月必拔之
2.4,7,今圍雍氏五月不能拔，是楚病也
2.4,8,楚王始不信昭應之計矣，今公乃徵甲及粟於周，此告楚病也
2.4,9,昭應聞此，必勸楚王益兵守雍氏，雍氏必拔
2.4,10,公中曰：善
2.4,11,然吾使者已行矣
2.4,12,代曰：公何不以高都與周
2.4,13,公中怒曰：吾無徵甲與粟於周，亦已多矣
2.4,14,何爲與高都
2.4,15,代曰：與之高都，則周必折而入於韓，秦聞之必大怒，而焚周之節，不通其使，是公以弊高都得完周也，何不與也
2.4,16,公中曰：善
2.4,17,不徵甲與粟於周而與高都，楚卒不拔雍氏而去
2.5,0,周君之秦
2.5,1,謂周最曰：不如譽秦王之孝也，因以應爲太后養地
2.5,2,秦王太后必喜，是公有秦也
2.5,3,交善，周君必以爲公功
2.5,4,交惡，勸周君入秦者，必有罪矣
2.6,0,蘇厲謂周君曰：敗韓魏，殺𡱝武，攻趙，取藺離石祁者，皆白起
2.6,1,是攻用兵，又有天命也
2.6,2,今攻梁，梁必破，破則周危，君不若止之
2.6,3,謂白起曰：楚有養由基者，善射
2.6,4,去柳葉者百步而射之，百發百中
2.6,5,左右皆曰善
2.6,6,有一人過曰，善射，可教射也矣
2.6,7,養由基曰，人皆善，子乃曰可教射，子何不代我射之也
2.6,8,客曰，我不能教子支左屈右
2.6,9,夫射柳葉者，百發百中，而不已善息，少焉氣力倦，弓撥矢鉤，一發不中，前功盡矣
2.6,10,今公破韓魏，殺𡱝武，而北攻趙，取藺離石祁者，公也
2.6,11,公之功甚多
2.6,12,今公又以秦兵出塞，過兩周，踐韓而以攻梁，一攻而不得，前功盡滅，公不若稱病不出也
2.7,0,楚兵在山南，吾得將爲楚王屬怒於周
2.7,1,或謂周君曰：不如令太子將軍正迎吾得於境，而君自郊迎，令天下皆知君之重吾得也
2.7,2,因泄之楚，曰：周君所以事吾得者器，必名曰謀楚
2.7,3,王必求之，而吾得無效也，王必罪之
2.8,0,楚請道於二周之間，以臨韓魏，周君患之
2.8,1,蘇秦謂周君曰：除道屬之於河，韓魏必惡之
2.8,2,齊秦恐楚之取九鼎也，必救韓魏而攻楚
2.8,3,楚不能守方城之外，安能道二周之間
2.8,4,若四國弗惡，君雖不欲與也，楚必將自取之矣
2.9,0,司寇布爲周最謂周君曰：君使人告齊王以周最不肯爲太子也，臣爲君不取也
2.9,1,函冶氏爲齊太公買良劍，公不知善，歸其劍而責之金
2.9,2,越人請買之千金，折而不賣
2.9,3,將死，而屬其子曰：必無獨知
2.9,4,今君之使最爲太子，獨知之契也，天下未有信之者也
2.9,5,臣恐齊王之爲君實立果而讓之於最，以嫁之齊也
2.9,6,君爲多巧，最爲多詐，君何不買信貨哉
2.9,7,奉養無有愛於最也，使天下見之
2.10,0,秦召周君，周君難往
2.10,1,或爲周君謂魏王曰：秦召周君，將以使攻魏之南陽
2.10,2,王何不出於河南
2.10,3,周君聞之，將以爲辭於秦而不往
2.10,4,周君不入秦，秦必不敢越河而攻南陽
2.11,0,𡱝武敗於伊闕，周君之魏求救，魏王以上黨之急辭之
2.11,1,周君反，見梁囿而樂之也
2.11,2,綦母恢謂周君曰：溫囿不下此，而又近
2.11,3,臣能爲君取之
2.11,4,反見魏王，王曰：周君怨寡人乎
2.11,5,對曰：不怨
2.11,6,且誰怨王
2.11,7,臣爲王有患也
2.11,8,周君，謀主也
2.11,9,而設以國爲王扞秦，而王無之扞也
2.11,10,臣見其必以國事秦也，秦悉塞外之兵，與周之衆，以攻南陽，而兩上黨絕矣
2.11,11,魏王曰：然則柰何
2.11,12,綦母恢曰：周君形不小利，事秦而好小利
2.11,13,今王許戍三萬人與溫囿，周君得以爲辭於父兄百姓，而利溫囿以爲樂，必不合於秦
2.11,14,臣嘗聞溫囿之利，歲八十金，周君得溫囿，其以事王者，歲百二十金，是上黨每患而贏四十金
2.11,15,魏王因使孟卯致溫囿於周君而許之戍也
2.12,0,韓魏易地，西周弗利
2.12,1,樊餘謂楚王曰：周必亡矣
2.12,2,韓魏之易地，韓得二縣，魏亡二縣
2.12,3,所以爲之者，盡包二周，多於二縣，九鼎存焉
2.12,4,且魏有南陽鄭地三川而包二周，則楚方城之外危
2.12,5,韓兼兩上黨以臨趙，即趙羊腸以上危
2.12,6,故易成之曰，楚趙皆輕
2.12,7,楚王恐，因趙以止易也
2.13,0,秦欲攻周，周最謂秦王曰：爲王之國計者，不攻周
2.13,1,攻周，實不足以利國，而聲畏天下
2.13,2,天下以聲畏秦，必東合於齊
2.13,3,兵弊於周，而合天下於齊，則秦孤而不王矣
2.13,4,是天下欲罷秦，故勸王攻周
2.13,5,秦與天下俱罷，則令不橫行於周矣
2.14,0,宮他謂周君曰：宛恃秦而輕晉，秦飢而宛亡
2.14,1,鄭恃魏而輕韓，魏攻蔡而鄭亡
2.14,2,邾莒亡於齊，陳蔡亡於楚
2.14,3,此皆恃援國而輕近敵也
2.14,4,今君恃韓魏而輕秦，國恐傷矣
2.14,5,君不如使周最陰合於趙以備秦，則不毀
2.15,0,謂齊王曰：王何不以地齎周最以爲太子也
2.15,1,齊王令司馬悍以賂進周最於周
2.15,2,左尚謂司馬悍曰：周不聽，是公之知困而交絕於周也
2.15,3,公不如謂周君曰：何欲置
2.15,4,令人微告悍，悍請令王進之以地
2.15,5,左尚以此得事
2.16,0,三國攻秦反，西周恐魏之藉道也
2.16,1,爲西周謂魏王曰：楚宋不利秦之德三國也，彼且攻王之聚以利秦
2.16,2,魏王懼，令軍設舍速東
2.17,0,𡱝武敗，周使周足之秦
2.17,1,或謂周足曰：何不謂周君曰：臣之秦，秦周之交必惡
2.17,2,主君之臣，又秦重而欲相者，且惡臣於秦，而臣爲不能使矣
2.17,3,臣願免而行
2.17,4,君因相之，彼得相，不惡周於秦矣
2.17,5,君重秦，故使相往，行而免，且輕秦也，公必不免
2.17,6,公言是而行，交善於秦，且公之成事也
2.17,7,交惡於秦，不善於公且誅矣
3.1,0,衛鞅亡魏入秦，孝公以爲相，封之於商，號曰商君
3.1,1,商君治秦，法令至行，公平無私，罰不諱強大，賞不私親近，法及太子，黥劓其傅
3.1,2,期年之後，道不拾遺，民不妄取，兵革大強，諸侯畏懼
3.1,3,然刻深寡恩，特以強服之耳
3.1,4,孝公行之八年，疾且不起，欲傳商君，辭不受
3.1,5,孝公已死，惠王代後，蒞政有頃，商君告歸
3.1,6,人說惠王曰：大臣太重者國危，左右太親者身危
3.1,7,今秦婦人嬰兒皆言商君之法，莫言大王之法
3.1,8,是商君反爲主，大王更爲臣也
3.1,9,且夫商君，固大王仇讎也，願大王圖之
3.1,10,商君歸還，惠王車裂之，而秦人不憐
3.2,0,蘇秦始將連橫說秦惠王曰：大王之國，西有巴蜀漢中之利，北有胡貉代馬之用，南有巫山黔中之限，東有肴函之固
3.2,1,田肥美，民殷富，戰車萬乘，奮擊百萬，沃野千里，蓄積饒多，地勢形便，此所謂天府，天下之雄國也
3.2,2,以大王之賢，士民之衆，車騎之用，兵法之教，可以幷諸侯，吞天下，稱帝而治
3.2,3,願大王少留意，臣請奏其效
3.2,4,秦王曰：寡人聞之，毛羽不豐滿者不可以高飛，文章不成者不可以誅罰，道德不厚者不可以使民，政教不順者不可以煩大臣
3.2,5,今先生儼然不遠千里而庭教之，願以異日
3.2,6,蘇秦曰：臣固疑大王之不能用也
3.2,7,昔者神農伐𥙷遂，黃帝伐涿鹿而禽蚩尤，堯伐驩兜，舜伐三苗，禹伐共工，湯伐有夏，文王伐崇，武王伐紂，齊桓任戰而伯天下
3.2,8,由此觀之，惡有不戰者乎
3.2,9,古者使車轂擊馳，言語相結，天下爲一
3.2,10,約從連橫，兵革不藏
3.2,11,文士並餝，諸侯亂惑
3.2,12,萬端俱起，不可勝理
3.2,13,科條既備，民多僞態
3.2,14,書策稠濁，百姓不足
3.2,15,上下相愁，民無所聊
3.2,16,明言章理，兵甲愈起
3.2,17,辯言偉服，戰攻不息
3.2,18,繁稱文辭，天下不治
3.2,19,舌弊耳聾，不見成功
3.2,20,行義約信，天下不親
3.2,21,於是，乃廢文任武，厚養死士，綴甲厲兵，效勝於戰場
3.2,22,夫徒處而致利，安坐而廣地，雖古五帝三王五伯，明主賢君，常欲坐而致之，其勢不能，故以戰續之
3.2,23,寬則兩軍相攻，迫則杖戟相橦，然後可建大功
3.2,24,是故兵勝於外，義強於內
3.2,25,威立於上，民服於下
3.2,26,今欲幷天下，凌萬乘，詘敵國，制海內，子元元，臣諸侯，非兵不可
3.2,27,今之嗣主，忽於至道，皆惽於教，亂於治，迷於言，惑於語，沈於辯，溺於辭
3.2,28,以此論之，王固不能行也
3.2,29,說秦王書十上而說不行
3.2,30,黑貂之裘弊，黃金百斤盡，資用乏絕，去秦而歸
3.2,31,羸縢履蹻，負書擔橐，形容枯槁，面目犂黑，狀有歸色
3.2,32,歸至家，妻不下絍，嫂不爲炊，父母不與言
3.2,33,蘇秦喟歎曰：妻不以我爲夫，嫂不以我爲叔，父母不以我爲子，是皆秦之罪也
3.2,34,乃夜發書，陳篋數十，得太公陰符之謀，伏而誦之，簡練以爲揣摩
3.2,35,讀書欲睡，引錐自刺其股，血流至足
3.2,36,曰：安有說人主不能出其金玉錦繡，取卿相之尊者乎
3.2,37,期年揣摩成，曰：此真可以說當世之君矣
3.2,38,於是乃摩燕烏集闕，見說趙王於華屋之下，抵掌而談
3.2,39,趙王大悅，封爲武安君
3.2,40,受相印，革車百乘，綿繡千純，白壁百雙，黃金萬溢，以隨其後，約從散橫，以抑強秦
3.2,41,故蘇秦相於趙而關不通
3.2,42,當此之時，天下之大，萬民之衆，王侯之威，謀臣之權，皆欲决蘇秦之策
3.2,43,不費斗糧，未煩一兵，未戰一士，未絕一絃，未折一矢，諸侯相親，賢於兄弟
3.2,44,夫賢人在而天下服，一人用而天下從
3.2,45,故曰：式於政，不式於勇
3.2,46,式於廊廟之內，不式於四境之外
3.2,47,當秦之隆，黃金萬溢爲用，轉轂連騎，炫熿於道，山東之國，從風而服，使趙大重
3.2,48,且夫蘇秦特窮巷掘門桑戶棬樞之士耳，伏軾撙銜，橫歷天下，廷說諸侯之王，杜左右之口，天下莫之能伉
3.2,49,將說楚王，路過洛陽，父母聞之，清宮除道，張樂設飲，郊迎三十里
3.2,50,妻側目而視，傾耳而聽
3.2,51,嫂虵行匍伏，四拜自跪而謝
3.2,52,蘇秦曰：嫂，何前倨而後卑也
3.2,53,嫂曰：以季子之位尊而多金
3.2,54,蘇秦曰：嗟乎
3.2,55,貧窮則父母不子，富貴則親戚畏懼
3.2,56,人生世上，勢位富貴，蓋可忽乎哉
3.3,0,秦惠王謂寒泉子曰：蘇秦欺寡人，欲以一人之智，反覆東山之君，從以欺秦
3.3,1,趙固負其衆，故先使蘇秦以幣帛約乎諸侯
3.3,2,諸侯不可一，猶連鷄之不能俱止於棲之明矣
3.3,3,寡人忿然，含怒日久，吾欲使武安子起往喻意焉
3.3,4,寒泉子曰：不可
3.3,5,夫攻城墮邑，請使武安子
3.3,6,善我國家使諸侯，請使客卿張儀
3.3,7,秦惠王曰：受命
3.3,8, 
3.4,0,泠向謂秦王曰：向欲以齊事王，使攻宋也
3.4,1,宋破，晉國危，安邑王之有也
3.4,2,燕趙惡齊秦之合，必割地以交於王矣
3.4,3,齊必重於王，則向之攻宋也，且以恐齊而重王
3.4,4,王何惡向之攻宋乎
3.4,5,向以王之明爲先知之，故不言
3.5,0,張儀說秦王曰：臣聞之，弗知而言爲不智，知而不言爲不忠
3.5,1,爲人臣不忠當死，言不審亦當死
3.5,2,雖然，臣願悉言所聞，大王裁其罪
3.5,3,臣聞，天下陰燕陽魏，連荆固齊，收餘韓成從，將西南以與秦爲難
3.5,4,臣竊笑之
3.5,5,世有三亡，而天 下得之，其此之謂乎
3.5,6,臣聞之曰，以亂攻治者亡，以邪攻正者亡，以逆攻順者亡
3.5,7,今天下之府庫不盈，囷倉空虛，悉其士民，張軍數千百萬，白刃在前，斧質在後，而皆去走，不能死，罪其百姓不能死也，其上不能殺也
3.5,8,言賞則不與，言罰則不行，賞罰不行，故民不死也
3.5,9,今秦出號令而行賞罰，不攻無攻相事也
3.5,10,出其父母懷衽之中，生未嘗見寇也，聞戰頓足徒裼，犯白刃，蹈煨炭，斷死於前者比是也
3.5,11,夫斷死與斷生也不同，而民爲之者是貴奮也
3.5,12,一可以勝十，十可以勝百，百可以勝千，千可以勝萬，萬可以勝天下矣
3.5,13,今秦地形，斷長續短，方數千里，名師數百萬，秦之號令賞罰，地形利害，天下莫如也
3.5,14,以此與天下，天下不足兼而有也
3.5,15,是知秦戰未嘗不勝，攻未嘗不取，所當未嘗不破也
3.5,16,開地數千里，此甚大功也
3.5,17,然而甲兵頓，士民病，蓄積索，田疇荒，囷倉虛，四隣諸侯不服，伯王之名不成，此無異故，謀臣皆不盡其忠也
3.5,18, 臣敢言往昔
3.5,19,昔者齊南破荆，中破宋，西服秦，北破燕，中使韓魏之君，地廣而兵強，戰勝攻取，詔令天下，濟清河濁，足以爲限，長城鉅坊，足以爲塞
3.5,20,齊，五戰之國也，一戰不勝而無齊
3.5,21,故由此觀之，夫戰者萬乘之存亡也
3.5,22, 且臣聞之曰：削株掘根，無與禍隣，禍乃不存
3.5,23,秦與荆人戰，大破荆，襲郢，取洞庭五都江南
3.5,24,荆王亡奔走，東伏於陳
3.5,25,當是之時，隨荆以兵，則荆可舉
3.5,26,舉荆，則其民足貪也，地足利也
3.5,27,東以強齊燕，中陵三晉
3.5,28,然則是一舉而伯王之名可成也，四隣諸侯可朝也
3.5,29,而謀臣不爲，引軍而退，與荆人和
3.5,30,今荆人收亡國，聚散民，立社主，置宗廟，令帥天下西面以與秦爲難，此固已無伯王之道一矣
3.5,31,天下有比志而軍華下，大王以詐破之，兵至梁郭，圍梁數旬，則梁可拔
3.5,32,拔梁，則魏可舉
3.5,33,舉魏，則荆趙之志絕
3.5,34,荆趙之志絕，則趙危
3.5,35,趙危而荆孤
